Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.14     0.00        4     0.00     0.00  std::_Niter_base<std::_Bit_iterator>::iterator_type std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.00      1.14     0.00        4     0.00     0.00  void std::_Destroy<char*>(char*, char*)
  0.00      1.14     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      1.14     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::max_size() const
  0.00      1.14     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00      1.14     0.00        3     0.00     0.00  std::allocator<unsigned long>::allocator()
  0.00      1.14     0.00        3     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      1.14     0.00        3     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned long)
  0.00      1.14     0.00        3     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl()
  0.00      1.14     0.00        3     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00      1.14     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      1.14     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Worker**, std::vector<Worker*, std::allocator<Worker*> > >::__normal_iterator(Worker** const&)
  0.00      1.14     0.00        2     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      1.14     0.00        2     0.00     0.00  std::_Bit_iterator::operator+(long) const
  0.00      1.14     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator() const
  0.00      1.14     0.00        2     0.00     0.00  std::move_iterator<std::vector<int, std::allocator<int> >*>::base() const
  0.00      1.14     0.00        2     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::max_size() const
  0.00      1.14     0.00        2     0.00     0.00  std::vector<bool, std::allocator<bool> >::max_size() const
  0.00      1.14     0.00        2     0.00    12.03  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      1.14     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<char*>(char*, char*)
  0.00      1.14     0.00        2     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      1.14     0.00        2     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.00      1.14     0.00        2     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      1.14     0.00        2     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      1.14     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00      1.14     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_base()
  0.00      1.14     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.00      1.14     0.00        2     0.00     0.00  std::move_iterator<std::vector<int, std::allocator<int> >*>::move_iterator(std::vector<int, std::allocator<int> >*)
  0.00      1.14     0.00        2     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::__maxsize_helper<std::allocator<std::vector<int, std::allocator<int> > > const>::value, unsigned long>::type std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::_S_max_size<std::allocator<std::vector<int, std::allocator<int> > > const>(std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      1.14     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::max_size(std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      1.14     0.00        2     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      1.14     0.00        2     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      1.14     0.00        2     0.00     0.00  std::vector<bool, std::allocator<bool> >::end()
  0.00      1.14     0.00        2     0.00     0.00  std::vector<bool, std::allocator<bool> >::vector()
  0.00      1.14     0.00        2     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      1.14     0.00        2     0.00     0.00  std::_Miter_base<unsigned long*>::iterator_type std::__miter_base<unsigned long*>(unsigned long*)
  0.00      1.14     0.00        2     0.00     0.00  std::_Miter_base<std::_Bit_iterator>::iterator_type std::__miter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.00      1.14     0.00        2     0.00     0.00  std::_Miter_base<std::_Bit_const_iterator>::iterator_type std::__miter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      1.14     0.00        2     0.00     0.00  std::_Niter_base<std::_Bit_const_iterator>::iterator_type std::__niter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      1.14     0.00        2     0.00     0.00  std::__fill_bvector(std::_Bit_iterator, std::_Bit_iterator, bool)
